nome_video,duracao,duracao_segundos
2-m4m1a1-prcesso x projeto.mp4,31:39,1899.253
2-m4m1a2-escopo_fluxo_as_is.mp4,33:02,1981.867
2-m4m1a3-gargalos_atritos.mp4,28:34,1713.734
2-m4m1a4-regras_de_negocio.mp4,29:32,1771.917
2-m4m1a5-raci_handoffs.mp4,40:19,2418.545
2-m4m1a6-checklist_bloco_1.mp4,13:13,793.15
2-m4m2a10-indicadores.mp4,29:13,1753.334
2-m4m2a11-priorizacao_e_ia.mp4,37:25,2244.743
2-m4m2a7-de_processo_a_necessidade.mp4,37:25,2245.117
2-m4m2a8-entrevistas.mp4,19:53,1192.7
2-m4m2a9-necessidade.mp4,08:28,508.184
2-m4m3a12-visao_solucao_tobe total.mp4,41:28,2488.32
2-m4m3a13-persistencia.mp4,22:50,1370.1
2-m4m3a14-prd_ia_first.mp4,29:37,1776.55
2-m4m3a15-gerando_prd_aceite.mp4,26:02,1561.517
2-m4m3a16-do_prd_a_construcao.mp4,12:27,747.1
2-m4m3a17-projetos_menores.mp4,15:42,942.284
2-m4m3a18-fechamento.mp4,16:52,1011.917
